Dist,2018 Winner,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016
PA-06,Chrissy Houlahan (D),177704,124124,0,58.9,41.1,0,17.8,9.3,8.5,85.4
PA-07,Susan Wild (D),140813,114437,8011,53.5,43.5,3,10,1.1,8.9,79.9
PA-08,Matt Cartwright (D),135603,112563,0,54.6,45.4,0,9.3,-9.5,18.8,80
PA-09,Dan Meuser (R),100204,148723,0,40.3,59.7,0,-19.5,-34,14.5,78.9
PA-10,Scott Perry (R),141668,149365,0,48.7,51.3,0,-2.6,-8.9,6.3,84.1
PA-11,Lloyd Smucker (R),113876,163708,0,41,59,0,-18,-25.8,7.8,83.4
PA-12,Tom Marino (R),82825,161047,0,34,66,0,-32.1,-36.5,4.4,79.5
PA-13,John Joyce (R),74733,178533,0,29.5,70.5,0,-41,-45.5,4.5,79.3
PA-14,Guy Reschenthaler (R),110051,151386,0,42.1,57.9,0,-15.8,-29,13.2,78.5
PA-15,Glenn Thompson (R),78327,165245,0,32.2,67.8,0,-35.7,-43.4,7.7,78.8
PA-16,Mike Kelly (R),124109,135348,2939,47.3,51.6,1.1,-4.3,-19.9,15.6,81.2
PA-17,Conor Lamb (D),183162,142417,0,56.3,43.7,0,12.5,-2.5,15,85.5
PA-18,Mike Doyle (D),231472,0,0,100,0,0,100,26.8,-,64
RI-01,David Cicilline (D),116099,57567,417,66.7,33.1,0.2,33.6,24.9,8.7,79.3
RI-02,Jim Langevin (D),126476,72271,450,63.5,36.3,0.2,27.2,6.8,20.4,81.9
SC-01,Joe Cunningham (D),145455,141473,505,50.6,49.2,0.2,1.4,-12.7,14.1,85.4
SC-02,Joe Wilson (R),109199,144642,3298,42.5,56.3,1.3,-13.8,-18.6,4.8,82.6
SC-03,Jeff Duncan (R),70046,153338,2820,31,67.8,1.2,-36.8,-38,1.2,79.7
SC-04,William Timmons (R),89182,145321,9447,36.6,59.6,3.9,-23,-25.6,2.6,80.3
SC-05,Ralph Norman (R),103129,141757,3693,41.5,57,1.5,-15.5,-18.5,3,81.1
SC-06,Jim Clyburn (D),144765,58282,3386,70.1,28.2,1.6,41.9,37.4,4.5,77.9
SC-07,Tom Rice (R),96564,142681,309,40.3,59.6,0.1,-19.3,-18.7,-0.6,80
SD-AL,Dusty Johnson (R),121033,202695,12237,36,60.3,3.6,-24.3,-29.8,5.5,90.8
TN-01,Phil Roe (R),47138,172835,4309,21,77.1,1.9,-56,-56.8,0.8,84.2
TN-02,Tim Burchett (R),86668,172856,2609,33.1,65.9,1,-32.9,-35.2,2.3,89.7
TN-03,Chuck Fleischmann (R),84731,156512,4522,34.5,63.7,1.8,-29.2,-35,5.8,88.4
TN-04,Scott DesJarlais (R),78065,147323,7063,33.6,63.4,3,-29.8,-40.9,11.1,83.5
TN-05,Jim Cooper (D),177923,84317,8,67.8,32.2,0,35.7,18.2,17.5,93.8
TN-06,John Rose (R),70370,172810,5560,28.3,69.5,2.2,-41.2,-48.8,7.6,83.1
TN-07,Mark Green (R),81661,170071,2652,32.1,66.9,1,-34.8,-39,4.2,86.6
TN-08,David Kustoff (R),74755,168030,5560,30.1,67.7,2.2,-37.6,-35.4,-2.2,83.1
TN-09,Steve Cohen (D),145139,34901,1436,80,19.2,0.8,60.7,57.3,3.4,81
TX-01,Louie Gohmert (R),61263,168165,3292,26.3,72.3,1.4,-45.9,-46.6,0.7,88
TX-02,Dan Crenshaw (R),119992,139188,4212,45.6,52.8,1.6,-7.3,-9.2,1.9,94.1
TX-03,Van Taylor (R),138234,169520,4757,44.2,54.2,1.5,-10,-13.9,3.9,96.4
TX-04,John Ratcliffe (R),57400,188667,3178,23,75.7,1.3,-52.7,-53.2,0.5,88.7
TX-05,Lance Gooden (R),78666,130617,224,37.5,62.3,0.1,-24.8,-28.3,3.5,89.8
TX-06,Ron Wright (R),116350,135961,3731,45.4,53.1,1.5,-7.7,-12.2,4.5,92.4
TX-07,Lizzie Fletcher (D),127959,115642,0,52.5,47.5,0,5.1,1.4,3.7,94.1
TX-08,Kevin Brady (R),67930,200619,4621,24.9,73.4,1.7,-48.6,-48.3,-0.3,91.6
TX-09,Al Green (D),136256,0,16745,89.1,0,10.9,89.1,61.2,-,79.9
TX-10,Michael McCaul (R),144034,157166,6627,46.8,51.1,2.2,-4.3,-9.1,4.8,96.9
TX-11,Mike Conaway (R),40631,176603,3143,18.4,80.1,1.4,-61.7,-58.5,-3.2,88.3
TX-12,Kay Granger (R),90994,172557,4940,33.9,64.3,1.8,-30.4,-30,-0.4,94.2
TX-13,Mac Thornberry (R),35083,169027,3175,16.9,81.5,1.5,-64.6,-62.8,-1.8,86.4
TX-14,Randy Weber (R),92212,138942,3374,39.3,59.2,1.4,-19.9,-19.7,-0.2,88.7
TX-15,Vicente Gonzalez (D),98333,63862,2607,59.7,38.8,1.6,20.9,16.6,4.3,88.7
TX-16,Veronica Escobar (D),124437,49127,8190,68.5,27,4.5,41.4,40.3,1.1,93.4
TX-17,Bill Flores (R),98070,134841,4440,41.3,56.8,1.9,-15.5,-17.3,1.8,94.9
TX-18,Sheila Jackson Lee (D),138704,38368,7260,75.2,20.8,3.9,54.4,56.3,-1.9,89.4
TX-19,Jodey Arrington (R),50039,151946,0,24.8,75.2,0,-50.5,-48.7,-1.8,88
